MP identifier,Coordinates [pixels],Coordinates [µm],,,Polymer group,Number of pixels [-],Area on map [µm²],Major dimension [µm],Minor dimension [µm],Volume [µm³],Mass [ng],Sampling_Site,Sample_replicate,Sampling_Period
MP_1,[528,1340],[2904,7370],pet,280,8470,152.4,70.7,239688.422,330.77003,Inarijärvi (S8),1,July2021
MP_2,[1354,1955],[7447,10753],pet,99,2994.8,102.3,37.3,44668.258,61.6422,Inarijärvi (S8),1,July2021
MP_3,[1443,1018],[7937,5599],pet,52,1573,58.7,34.1,21477.723,29.63926,Inarijärvi (S8),1,July2021
MP_4,[277,1040],[1524,5720],pe,63,1905.8,95.4,25.4,19379.127,18.41017,Inarijärvi (S8),1,July2021
MP_5,[435,1129],[2393,6210],pe,110,3327.5,93.1,45.5,60574.094,57.54539,Inarijärvi (S8),1,July2021
MP_6,[567,286],[3119,1573],pe,397,12009.3,164.6,92.9,446198.688,423.88875,Inarijärvi (S8),1,July2021
MP_7,[1408,478],[7744,2629],pe,58,1754.5,69,32.4,22706.951,21.5716,Inarijärvi (S8),1,July2021
MP_8,[1451,1598],[7981,8789],pe,49,1482.3,55.8,33.8,20068.783,19.06534,Inarijärvi (S8),1,July2021
MP_9,[1540,901],[8470,4956],pe,632,19118,361,67.4,515627.438,489.84606,Inarijärvi (S8),1,July2021
MP_10,[1954,1742],[10747,9581],pe,291,8802.8,156.3,71.7,252503.047,239.87789,Inarijärvi (S8),1,July2021
MP_11,[1460,1804],[8030,9922],abs,61,1845.3,79.9,29.4,21703.289,22.57142,Inarijärvi (S8),1,July2021
MP_12,[538,322],[2959,1771],pp,430,13007.5,230.6,71.8,373693.813,355.00913,Inarijärvi (S8),1,July2021
MP_13,[2139,741],[11765,4076],pp,119,3599.8,89.9,51,73385.414,69.71614,Inarijärvi (S8),1,July2021
MP_14,[593,1750],[3262,9625],pp,70,2117.5,107.4,25.1,21270.252,20.20674,Inarijärvi (S8),1,July2021
MP_15,[974,1504],[5357,8272],pp,25,756.3,35.1,27.4,8294.039,7.87934,Inarijärvi (S8),1,July2021
MP_16,[1063,2213],[5847,12172],pp,364,11011,157,89.3,393191.656,373.53206,Inarijärvi (S8),1,July2021
MP_17,[1702,580],[9361,3190],pp,10,302.5,28.8,13.4,1616.249,1.53544,Inarijärvi (S8),1,July2021
MP_18,[1758,2020],[9669,11110],pp,23,695.8,40.7,21.8,6054.787,5.75205,Inarijärvi (S8),1,July2021
MP_1,[1235,458],[6793,2519],pet,6,181.5,21.1,11,796.783,1.09956,Vainosjoki (S7),1,July2021
MP_2,[1408,1227],[7744,6749],pet,30,907.5,44.2,26.1,9490.432,13.0968,Vainosjoki (S7),1,July2021
MP_3,[1438,1762],[7909,9691],pet,8,242,25.3,12.2,1177.488,1.62493,Vainosjoki (S7),1,July2021
MP_4,[1549,1961],[8520,10786],pet,41,1240.3,55.8,28.3,14050.653,19.3899,Vainosjoki (S7),1,July2021
MP_5,[2078,839],[11429,4615],pet,10,302.5,25.3,15.2,1839.825,2.53896,Vainosjoki (S7),1,July2021
MP_6,[418,668],[2299,3674],pe,51,1542.8,52.5,37.4,23092.826,21.93819,Vainosjoki (S7),1,July2021
