Data ID:;D:\mrolf2\ML1\ML1.1_5-20_1-32_4v5\ML1.1_5-20_1-32_4v5.ilab
Date of Export:;2021-02-06 11:51:01
Classes:;24
Particles on File:;14517

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;11
;2;PET;PET;9
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;0
;6;PVC;PVC;9
;7;PE;PE;38
;8;PP;PP;28
;9;POM;POM;0
;10;ABS;ABS;1
;11;PAN;PAN;0
;12;PS;PS;5
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;7121
;22;Non-Polymer;Non-Polymer;7295
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;101

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00067;1;122,102499999944;7;PE;747;384;747;747;384;384;748,000000000000;385,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43103525925926;0,23208936037245;;"";"";"";"";"";""
;00068;1;122,102499999944;8;PP;215;527;215;215;527;527;216,000000000000;528,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42240000000000;0,54175432670504;;"";"";"";"";"";""
;00069;1;122,102499999944;8;PP;217;520;217;217;520;520;218,000000000000;521,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52505155391280;0,67837503690488;;"";"";"";"";"";""
;00070;1;122,102499999944;8;PP;218;529;218;218;529;529;219,000000000000;530,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43866408743682;0,76652233745952;;"";"";"";"";"";""
;00071;1;122,102499999944;8;PP;219;522;219;219;522;522;220,000000000000;523,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53097914469136;0,67693916935668;;"";"";"";"";"";""
;00072;1;122,102499999944;8;PP;220;541;220;220;541;541;221,000000000000;542,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,55679565537449;0,61871363601345;;"";"";"";"";"";""
;00073;2;244,204999999887;8;PP;221;521;221;222;521;521;222,000000000000;522,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,45825002823041;0,70654427552448;;"";"";"";"";"";""
;00074;1;122,102499999944;8;PP;223;531;223;223;531;531;224,000000000000;532,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39438222222222;0,69722817468248;;"";"";"";"";"";""
;00075;1;122,102499999944;8;PP;225;527;225;225;527;527;226,000000000000;528,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36511402666667;0,76790724029982;;"";"";"";"";"";""
;00076;1;122,102499999944;8;PP;225;531;225;225;531;531;226,000000000000;532,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46557866666667;0,73155677003561;;"";"";"";"";"";""
