Sampling_Site,Sample_ID,MP identifier,Coordinates [pixels],,Coordinates [µm],,Polymer group,Number of pixels [-],Area on map [µm²],Major dimension [µm],Minor dimension [µm],Volume [µm³],Mass [ng]
N13,N13,MP_3,[394,341],[2167,1876],pe,1302,39385.5,359.7,139.4,2196452.25,2086.62963
N13,N13,MP_4,[408,375],[2244,2063],pe,118,3569.5,107,42.5,60617.602,57.58672
N13,N13,MP_5,[932,1070],[5126,5885],pe,14,423.5,36.6,14.7,2494.854,2.37011
N13,N13,MP_6,[956,1079],[5258,5935],pe,22,665.5,38.5,22,5858.757,5.56582
N13,N13,MP_7,[1138,1373],[6259,7552],pe,41,1240.3,55.8,28.3,14050.653,13.34812
N13,N13,MP_8,[973,1985],[5352,10918],pe,109,3297.3,147.4,28.5,37573.109,35.69445
N14,N14,MP_1,[46,1219],[253,6705],pe,18,544.5,37.6,18.5,4019.037,3.81808
N14,N14,MP_2,[59,1279],[325,7035],pe,63,1905.8,71.6,33.9,25828.65,24.53722
N14,N14,MP_3,[72,836],[396,4598],pe,36,1089,101.4,13.7,5953.902,5.65621
N14,N14,MP_4,[288,1155],[1584,6353],pe,81,2450.3,95.4,32.7,32034.879,30.43313
N14,N14,MP_5,[313,1506],[1722,8283],pe,85,2571.3,72.7,45,46287.27,43.97291
N14,N14,MP_6,[538,2088],[2959,11484],pe,50,1512.5,69.2,27.8,16825.447,15.98417
N14,N14,MP_7,[624,1891],[3432,10401],pe,174,5263.5,114.2,58.7,123595.578,117.4158
N14,N14,MP_8,[643,556],[3537,3058],pe,14,423.5,25.3,21.3,3606.058,3.42575
N14,N14,MP_9,[795,587],[4373,3229],pe,370,11192.5,149,95.6,428189.781,406.78028
N14,N14,MP_10,[875,595],[4813,3273],pe,53,1603.3,53.8,38,24353.914,23.13622
N14,N14,MP_11,[880,1126],[4840,6193],pe,37,1119.3,52.8,27,12080.508,11.47648
N14,N14,MP_12,[962,691],[5291,3801],pe,25,756.3,61.6,15.6,4729.293,4.49283
N14,N14,MP_13,[985,1812],[5418,9966],pe,114,3448.5,100.1,43.9,60493.68,57.469
N14,N14,MP_14,[1134,454],[6237,2497],pe,39,1179.8,50.3,29.8,14078.793,13.37485
N14,N14,MP_15,[1151,303],[6331,1667],pe,110,3327.5,127.9,33.1,44086.867,41.88252
N14,N14,MP_16,[1398,539],[7689,2965],pe,20,605,42.4,18.2,4397.086,4.17723
N14,N14,MP_17,[1407,412],[7739,2266],pe,15,453.8,42.4,13.6,2473.361,2.34969
N14,N14,MP_18,[1436,979],[7898,5385],pe,39,1179.8,58.9,25.5,12025.816,11.42453
