Data ID:;D:\mrolf2\Blanks\FB_PW3_ML1_1v2\FB_PW3_ML1_1v2\FB PW 3 ML1-1_1v2.ilab
Date of Export:;2020-07-15 17:41:18
Classes:;24
Particles:;59476

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;14
;2;PET;PET;10
;3;PA;PA;2
;4;PC;PC;1
;5;PMMA;PMMA;9
;6;PVC;PVC;34
;7;PE;PE;4
;8;PP;PP;6
;9;POM;POM;2
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;5
;13;PBT;PBT;4
;14;PPSU;PPSU;11
;15;CA;CA;0
;16;EVAc;EVAc;2
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;3
;20;SILICONE;SI;6
;21;Substrat;Substrate;52004
;22;Non-Polymer;Non-Polymer;7358
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00065;1;6;PVC;771;344;771;771;344;344;772,000000000000;345,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37377185185185;0,11801888521225;;"";"";"";"";"";""
;00066;1;6;PVC;772;343;772;772;343;343;773,000000000000;344,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33075200000000;0,17575167988256;;"";"";"";"";"";""
;00067;1;6;PVC;773;342;773;773;342;342;774,000000000000;343,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,21299200000000;0,18920359245325;;"";"";"";"";"";""
;00068;1;6;PVC;779;334;779;779;334;334;780,000000000000;335,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48782222222222;0,13224900052851;;"";"";"";"";"";""
;00069;2;6;PVC;805;457;805;806;457;457;806,000000000000;458,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,52060918518518;0,37959579536580;;"";"";"";"";"";""
;00070;1;6;PVC;926;649;926;926;649;649;927,000000000000;650,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39692389135803;0,10007818597357;;"";"";"";"";"";""
;00071;1;7;PE;376;719;376;376;719;719;377,000000000000;720,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,59482288987654;0,81155234852554;;"";"";"";"";"";""
;00072;1;7;PE;426;326;426;426;326;326;427,000000000000;327,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39933166174815;0,00000000000000;;"";"";"";"";"";""
;00073;2;7;PE;780;772;780;781;772;772;782,000000000000;773,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,27097998734253;4,16268827551402E-02;;"";"";"";"";"";""
;00074;1;7;PE;797;246;797;797;246;246;798,000000000000;247,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46167229629630;0,23971342886707;;"";"";"";"";"";""
;00075;11;8;PP;306;528;306;310;528;530;309,000000000000;530,000000000000;0,98483334211643;-0,17350299206579;5,11283636053153;3,31667266836450;1,54155591213430;170,008446739050;0,82044444444444;0,87022432105710;OK;"ja";"Fragment";"transparent";"352";"98";""
;00076;2;8;PP;320;528;320;321;528;528;322,000000000000;529,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,18483200000000;0,83445855946624;;"";"";"";"";"";""
;00077;12;8;PP;347;189;347;349;189;194;349,000000000000;192,000000000000;4,22889947696193E-02;0,99910542032429;6,03781609639108;3,08278883018778;1,95855649834546;87,5762963047161;0,80462222222222;0,84535570706429;OK;"ja";"Fragment";"transparent";"94";"55";""
;00078;1;8;PP;347;195;347;347;195;195;348,000000000000;196,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,64715851851852;0,65161742865094;;"";"";"";"";"";""
;00079;1;8;PP;408;326;408;408;326;326;409,000000000000;327,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39433400795608;0,00000000000000;;"";"";"";"";"";""
;00080;55;8;PP;851;643;851;860;640;649;856,000000000000;646,000000000000;0,47984232041847;0,87735474440811;10,8155619813469;9,54069481294920;1,13362414304118;61,3248957801265;0,97351111111111;0,91435192787171;OK;"ja";"Fragment";"transparent";"153";"102";""
